Os01g0100100	LOC_Os01g01010.1,LOC_Os01g01010.2
Os02g0495350	None
Os02g0495400	LOC_Os02g29300.1
Os02g0495650	None
Os02g0495900	LOC_Os02g29320.1
Os02g0496100	LOC_Os02g29340.1
Os02g0496201	None
Os02g0496300	None
Os02g0496400	LOC_Os02g29370.1
Os02g0496500	LOC_Os02g29380.1
Os02g0496700	None
Os02g0496900	LOC_Os02g29400.1
Os02g0497000	LOC_Os02g29410.1
Os02g0497150	None
Os02g0497300	LOC_Os02g29440.1
Os02g0497400	LOC_Os02g29450.1
Os02g0497500	LOC_Os02g29464.1
Os02g0497600	None
Os02g0497700	LOC_Os02g29480.1
Os02g0498100	LOC_Os02g29500.1
Os02g0498300	LOC_Os02g29510.2,LOC_Os02g29510.3
Os02g0498400	LOC_Os02g29520.1
Os02g0498600	None
Os02g0498633	None
Os02g0498666	None
Os02g0498700	LOC_Os02g29530.1
Os02g0499000	LOC_Os02g29550.1,LOC_Os02g29550.2,LOC_Os02g29550.3
Os02g0499150	None
Os02g0499300	LOC_Os02g29590.1
Os02g0499350	None
Os02g0499575	None
Os02g0499800	LOC_Os02g29630.1
Os02g0500250	None
Os02g0500700	LOC_Os02g29720.1
Os02g0501350	LOC_Os02g29774.1,LOC_Os02g29774.2
Os02g0502300	LOC_Os02g29720.1
Os02g0502500	LOC_Os02g29890.1
Os02g0502600	LOC_Os02g29900.1
Os02g0502850	LOC_Os02g29950.1
Os02g0502900	None
Os02g0503100	LOC_Os02g29960.1
Os02g0503350	LOC_Os02g29980.1
Os02g0503400	LOC_Os02g30050.1
Os02g0503500	LOC_Os02g30060.1
Os02g0503700	LOC_Os02g30080.1
Os02g0503800	LOC_Os02g30090.1
Os02g0503850	LOC_Os02g30090.1
Os02g0503900	LOC_Os02g30100.1
Os02g0504000	LOC_Os02g30110.1
Os02g0504050	LOC_Os02g30114.1,LOC_Os02g30114.2
Os02g0504100	LOC_Os02g30140.1,LOC_Os02g30140.2
Os02g0504200	LOC_Os02g30150.1
Os02g0504500	LOC_Os02g30180.1,LOC_Os02g30180.2,LOC_Os02g30180.3
Os02g0504700	LOC_Os02g30190.1
Os02g0504800	LOC_Os02g30200.1
Os02g0504850	None
Os02g0504900	LOC_Os02g30210.1,LOC_Os02g30210.2
Os02g0505066	None
Os02g0505232	LOC_Os02g30219.1
Os02g0505400	LOC_Os02g30230.1,LOC_Os02g30230.2,LOC_Os02g30230.3
Os02g0505500	LOC_Os02g30240.1
Os02g0505700	None
Os02g0506100	LOC_Os02g30280.1
Os02g0506400	LOC_Os02g30300.1
Os02g0506500	LOC_Os02g30310.1,LOC_Os02g30310.2,LOC_Os02g30310.3
Os02g0506600	LOC_Os02g30320.1
Os02g0507000	LOC_Os02g30370.1
Os02g0507100	LOC_Os02g30380.1
Os02g0507400	LOC_Os02g30410.1,LOC_Os02g30410.2
Os02g0507600	LOC_Os02g30420.1
Os02g0507900	LOC_Os02g30450.1
Os02g0508000	LOC_Os02g30460.1
Os02g0508100	LOC_Os02g30470.1
Os02g0508200	LOC_Os02g30480.1
Os02g0508500	LOC_Os02g30530.1
Os02g0508650	None
Os02g0508801	LOC_Os02g30550.1
Os02g0508875	LOC_Os02g30560.1
Os02g0509000	LOC_Os02g30570.1
Os02g0509500	LOC_Os02g30600.1
Os02g0509600	LOC_Os02g30610.1,LOC_Os02g30610.2
Os02g0510000	LOC_Os02g30620.1,LOC_Os02g30620.2,LOC_Os02g30620.3
Os02g0510100	LOC_Os02g30624.1,LOC_Os02g30624.2
Os02g0510200	LOC_Os02g30630.1,LOC_Os02g30630.2
Os02g0510300	LOC_Os02g30640.1
Os02g0510400	None
Os02g0510600	LOC_Os02g30650.1,LOC_Os02g30650.2
Os02g0510800	LOC_Os02g30660.1
Os02g0511100	LOC_Os02g30670.1,LOC_Os02g30690.1
Os02g0511200	LOC_Os02g30700.1
Os02g0511400	LOC_Os02g30714.1
Os02g0511500	LOC_Os02g30730.1,LOC_Os02g30730.2
Os02g0511600	LOC_Os02g30780.1
Os02g0511800	LOC_Os02g30790.1
Os02g0511900	LOC_Os02g30800.1
Os02g0511901	LOC_Os02g30800.1
Os02g0512000	LOC_Os02g30810.1
Os02g0512200	None
Os02g0512300	LOC_Os02g30840.1,LOC_Os02g30840.2
Os02g0512400	LOC_Os02g30850.1
Os02g0512500	LOC_Os02g30870.1
Os02g0512800	None
Os02g0513000	LOC_Os02g30900.1
Os02g0513100	LOC_Os02g30910.1
Os02g0513250	LOC_Os02g30930.1
Os02g0513400	LOC_Os02g30940.1
Os02g0513700	LOC_Os02g30960.1
Os02g0513800	LOC_Os02g30974.1
Os02g0513976	LOC_Os02g31010.1
Os02g0514150	None
Os02g0514326	None
Os02g0514500	LOC_Os02g31030.1,LOC_Os02g31030.2
Os02g0514700	LOC_Os02g31040.1
Os02g0514712	None
Os02g0514725	LOC_Os02g31040.1
Os02g0514750	None
Os02g0514775	None
Os02g0514800	LOC_Os02g31050.1
Os02g0515000	LOC_Os02g31070.1,LOC_Os02g31070.2,LOC_Os02g31070.3,LOC_Os02g31070.4
Os02g0515100	LOC_Os02g31074.1
Os02g0515125	None
Os02g0515150	None
Os02g0515200	LOC_Os02g31080.1
Os02g0515401	None
Os02g0515600	LOC_Os02g31100.1
Os02g0515900	None
Os02g0516200	None
Os02g0516301	None
Os02g0516400	LOC_Os02g31140.1
Os02g0516600	LOC_Os02g31150.1
Os02g0516800	LOC_Os02g31160.1
Os02g0516901	None
Os02g0517000	LOC_Os02g31200.1
Os02g0517150	LOC_Os02g31210.1
Os02g0517300	LOC_Os02g31220.1,LOC_Os02g31220.2
Os02g0517333	LOC_Os02g31230.1,LOC_Os02g31230.2
Os02g0517366	None
Os02g0517421	None
Os02g0517476	LOC_Os02g31280.1
Os02g0517531	LOC_Os02g31290.1,LOC_Os02g31290.2
Os02g0517564	LOC_Os02g31300.1
Os02g0517600	LOC_Os02g31830.1
Os02g0517700	LOC_Os02g31840.1
Os02g0517750	LOC_Os02g31845.1
Os02g0517800	LOC_Os02g31850.1
Os02g0517850	None
Os02g0517875	None
Os02g0517900	LOC_Os02g31860.1
Os02g0518000	LOC_Os02g31867.1
Os02g0518100	LOC_Os02g31874.1,LOC_Os02g31874.2
Os02g0518400	None
Os02g0518500	LOC_Os02g31890.1
Os02g0518550	None
Os02g0518600	LOC_Os02g31910.1,LOC_Os02g31910.2
Os02g0518800	LOC_Os02g31920.1,LOC_Os02g31922.1,LOC_Os02g31924.1,LOC_Os02g31926.1
Os02g0518901	None
Os02g0518950	None
Os02g0519100	LOC_Os02g31940.1
Os02g0519300	LOC_Os02g31960.1,LOC_Os02g31960.3,LOC_Os02g31960.4
Os02g0519401	LOC_Os02g31980.1
Os02g0519500	LOC_Os02g31990.1
Os02g0519600	LOC_Os02g32000.1
Os02g0519700	LOC_Os02g32009.1
Os02g0519801	None
Os02g0519900	LOC_Os02g32030.1
Os02g0519950	None
Os02g0520000	LOC_Os02g32040.1
Os02g0520100	LOC_Os02g32060.1,LOC_Os02g32060.2,LOC_Os02g32060.3
Os02g0520500	LOC_Os02g32080.1
Os02g0520750	LOC_Os02g32110.1
Os02g0520800	LOC_Os02g32120.1
Os02g0521100	LOC_Os02g32140.1
Os02g0521300	LOC_Os02g32160.1
Os02g0521366	LOC_Os02g32170.1
Os02g0521432	None
Os02g0521500	LOC_Os02g32180.1
Os02g0521600	LOC_Os02g32190.1
Os02g0521700	LOC_Os02g32200.1
Os02g0521800	LOC_Os02g32210.1
Os02g0522100	LOC_Os02g32230.1,LOC_Os02g32230.2
Os02g0522300	LOC_Os02g32250.1,LOC_Os02g32250.2
Os02g0522500	None
Os02g0522600	LOC_Os02g32270.1
Os02g0522700	LOC_Os02g32280.1
Os02g0522800	LOC_Os02g32290.1
Os02g0523000	LOC_Os02g32310.1
Os02g0523100	LOC_Os02g32320.1,LOC_Os02g32320.2
Os02g0523201	None
Os02g0523300	LOC_Os02g32340.1
Os02g0523500	LOC_Os02g32350.1,LOC_Os02g32350.2
Os02g0523650	None
Os02g0523800	LOC_Os02g32370.1
Os02g0524050	None
Os02g0524300	LOC_Os02g32400.1
Os02g0524401	None
Os02g0524550	LOC_Os02g32420.1
Os02g0524600	LOC_Os02g32430.1,LOC_Os02g32430.2
Os02g0524800	None
Os02g0524950	None
Os02g0525100	LOC_Os02g32450.1
Os02g0525251	None
Os02g0525400	LOC_Os02g32460.1
Os02g0525501	LOC_Os02g32465.1
Os02g0525600	LOC_Os02g32469.1,LOC_Os02g32469.2
Os02g0525701	None
Os02g0525800	LOC_Os02g32480.1
Os02g0525900	LOC_Os02g32490.1,LOC_Os02g32490.2
Os02g0526000	LOC_Os02g32504.1,LOC_Os02g32504.2
Os02g0526202	None
Os02g0526400	LOC_Os02g32520.1,LOC_Os02g32520.2
Os02g0526500	LOC_Os02g32530.1,LOC_Os02g32530.2,LOC_Os02g32530.3
Os02g0526600	LOC_Os02g32540.1
Os02g0526650	None
Os02g0526700	LOC_Os02g32550.1
Os02g0527100	LOC_Os02g32570.1,LOC_Os02g32570.2
Os02g0527200	LOC_Os02g32580.1
Os02g0527300	LOC_Os02g32590.1,LOC_Os02g32590.2
Os02g0527500	LOC_Os02g32600.1
Os02g0527600	LOC_Os02g32610.2,LOC_Os02g32610.3,LOC_Os02g32610.4
Os02g0527650	LOC_Os02g32615.1
Os02g0527700	None
Os02g0527800	None
Os02g0527900	LOC_Os02g32620.1
Os02g0527950	None
Os02g0528000	None
Os02g0528100	LOC_Os02g32650.1,LOC_Os02g32650.2
Os02g0528200	LOC_Os02g32660.1
Os02g0528300	None
Os02g0528500	None
Os02g0528550	None
Os02g0528750	None
Os02g0528900	LOC_Os02g32690.1,LOC_Os02g32690.2
Os02g0529150	LOC_Os02g32700.1
Os02g0529400	LOC_Os02g32730.1
Os02g0529450	None
Os02g0529500	LOC_Os02g32740.1
Os02g0529600	LOC_Os02g32750.1,LOC_Os02g32750.2
Os02g0529700	LOC_Os02g32760.1
Os02g0529800	LOC_Os02g32770.1
Os02g0529850	None
Os02g0529900	LOC_Os02g32780.1
Os02g0530001	LOC_Os02g32790.1
Os02g0530100	LOC_Os02g32814.1
Os02g0530300	LOC_Os02g32840.1
Os02g0530401	None
Os02g0530500	LOC_Os02g32850.1
Os02g0530600	LOC_Os02g32860.1
Os02g0530901	LOC_Os02g32920.1
Os02g0531200	LOC_Os02g32930.1
Os02g0531300	None
Os02g0531450	LOC_Os02g32940.1
Os02g0531600	LOC_Os02g32950.1
Os02g0531900	None
Os02g0532300	LOC_Os02g32970.1
Os02g0532401	None
Os02g0532500	LOC_Os02g32980.1
Os02g0532800	LOC_Os02g32990.1
Os02g0532900	LOC_Os02g33000.1
Os02g0533000	LOC_Os02g33010.1
Os02g0533200	LOC_Os02g33020.1
Os02g0533300	LOC_Os02g33030.1
Os02g0533700	LOC_Os02g33060.1,LOC_Os02g33060.2
Os02g0533800	LOC_Os02g33070.1
Os02g0533900	LOC_Os02g33080.1,LOC_Os02g33080.2
Os02g0534000	LOC_Os02g33090.1
Os02g0534400	LOC_Os02g33110.1,LOC_Os02g33110.2,LOC_Os02g33110.3
Os02g0534550	None
Os02g0534700	LOC_Os02g33130.1
Os02g0534800	LOC_Os02g33140.1
Os02g0535000	LOC_Os02g33149.1
Os02g0535150	None
Os02g0535300	LOC_Os02g33170.1
Os02g0535400	LOC_Os02g33180.1
Os02g0535700	LOC_Os02g33230.1
Os02g0535801	None
Os02g0535901	LOC_Os02g33240.1
Os02g0536100	LOC_Os02g33290.1,LOC_Os02g33290.2
Os02g0536300	LOC_Os02g33310.1
Os02g0536400	LOC_Os02g33320.1,LOC_Os02g33320.2,LOC_Os02g33320.3
Os02g0536500	LOC_Os02g33330.1
Os02g0536601	LOC_Os02g33335.1
Os02g0536800	None
Os02g0537000	LOC_Os02g33380.1
Os02g0537100	LOC_Os02g33390.1
Os02g0537200	LOC_Os02g33400.1
Os02g0537400	LOC_Os02g33420.1
Os02g0537450	None
Os02g0537500	LOC_Os02g33430.1,LOC_Os02g33430.2
Os02g0537600	None
Os02g0537700	LOC_Os02g33450.1,LOC_Os02g33450.2
Os02g0537750	None
Os02g0537775	None
Os02g0537800	LOC_Os02g33460.1
Os02g0537900	LOC_Os02g33490.1
Os02g0537950	None
Os02g0538000	LOC_Os02g33500.1
Os02g0538400	LOC_Os02g33540.1
Os02g0538550	None
Os02g0538700	LOC_Os02g33550.1
Os02g0538900	LOC_Os02g33560.1
Os02g0539100	LOC_Os02g33580.1
Os02g0539200	LOC_Os02g33590.1
Os02g0539500	LOC_Os02g33600.1
Os02g0539600	LOC_Os02g33610.1,LOC_Os02g33610.2
Os02g0539900	LOC_Os02g33630.1
Os02g0539950	None
Os02g0540000	LOC_Os02g33640.1
Os02g0540200	None
Os02g0540400	LOC_Os02g33670.1
Os02g0540700	LOC_Os02g33680.1
Os02g0540900	None
Os02g0540950	LOC_Os02g33690.1
Os02g0541000	LOC_Os02g33700.1
Os02g0541150	None
Os02g0541300	LOC_Os02g33710.1
Os02g0541325	LOC_Os02g33710.1
Os02g0541500	LOC_Os02g33720.1
Os02g0541700	LOC_Os02g33730.1
Os02g0541900	LOC_Os02g33740.1
Os02g0542000	None
Os02g0542100	None
Os02g0542200	LOC_Os02g33750.1,LOC_Os02g33750.2
Os02g0542400	LOC_Os02g33770.1
Os02g0542450	None
Os02g0542500	LOC_Os02g33780.1
Os02g0542600	None
Os02g0542800	LOC_Os02g33800.1
Os02g0542901	None
Os02g0543000	LOC_Os02g33820.1
Os02g0543100	LOC_Os02g33830.1
Os02g0543200	LOC_Os02g33840.1
Os02g0543300	LOC_Os02g33850.1
Os02g0543400	LOC_Os02g33860.1
Os02g0543500	LOC_Os02g33890.1
Os02g0543601	None
Os02g0543800	LOC_Os02g33930.1
Os02g0543900	LOC_Os02g33944.1
Os02g0544233	None
Os02g0544566	None
Os02g0544800	LOC_Os02g34060.1
Os02g0544900	LOC_Os02g34070.1
Os02g0545000	None
Os02g0546050	LOC_Os02g34220.1
Os02g0546101	None
Os02g0546400	None
Os02g0546600	LOC_Os02g34260.1
Os02g0546700	None
Os02g0547300	LOC_Os02g34310.1
Os02g0547600	LOC_Os02g34320.1
Os02g0547900	LOC_Os02g34360.1
Os02g0548100	LOC_Os02g34370.1
Os02g0548500	LOC_Os02g34390.1
Os02g0548700	LOC_Os02g34410.1
Os02g0548801	None
Os02g0548900	None
Os02g0549200	LOC_Os02g34430.1
Os02g0549401	None
Os02g0549467	None
Os02g0549533	None
Os02g0549600	LOC_Os02g34460.2
Os02g0549650	None
Os02g0549700	LOC_Os02g34470.1,LOC_Os02g34470.2,LOC_Os02g34470.3
Os02g0549800	None
Os02g0549850	None
Os02g0549900	LOC_Os02g34490.1
Os02g0550000	LOC_Os02g34500.1
Os02g0550050	None
Os02g0550100	LOC_Os02g34510.1
Os02g0550300	LOC_Os02g34530.1
Os02g0550400	LOC_Os02g34540.1
Os02g0550500	LOC_Os02g34550.1
Os02g0550566	LOC_Os02g34550.1
Os02g0550600	LOC_Os02g34560.1,LOC_Os02g34560.2
Os02g0550650	None
Os02g0550700	LOC_Os02g34570.1,LOC_Os02g34570.2
Os02g0550800	LOC_Os02g34580.1
Os02g0550850	None
Os02g0550900	LOC_Os02g34590.1
Os02g0551000	None
Os02g0551100	LOC_Os02g34600.1,LOC_Os02g34600.2
Os02g0551200	None
Os02g0551300	LOC_Os02g34610.1
Os02g0551400	LOC_Os02g34630.1,LOC_Os02g34630.2
Os02g0551600	LOC_Os02g34640.1
Os02g0551700	LOC_Os02g34650.1
Os02g0551801	None
Os02g0551900	LOC_Os02g34680.1
Os02g0552000	LOC_Os02g34690.1
Os02g0552100	LOC_Os02g34700.1
Os02g0552150	None
Os02g0552200	LOC_Os02g34710.1
Os02g0552400	LOC_Os02g34730.1
Os02g0552450	None
Os02g0552500	LOC_Os02g34740.1
Os02g0552550	None
Os02g0552600	LOC_Os02g34750.1,LOC_Os02g34750.2
Os02g0552700	LOC_Os02g34760.1
Os02g0553000	LOC_Os02g34790.1
Os02g0553200	LOC_Os02g34810.1
Os02g0553400	None
Os02g0553500	LOC_Os02g34830.1
Os02g0553600	LOC_Os02g34830.1,LOC_Os02g34840.1
Os02g0553801	None
Os02g0553802	None
Os02g0554000	LOC_Os02g34850.1
Os02g0554100	LOC_Os02g34860.1
Os02g0554200	LOC_Os02g34870.1
Os02g0554300	LOC_Os02g34884.1
Os02g0554400	LOC_Os02g34900.1
Os02g0554500	LOC_Os02g34900.1
Os02g0554650	LOC_Os02g34910.1
Os02g0554725	None
Os02g0554800	LOC_Os02g34930.1
Os02g0554900	LOC_Os02g34940.1,LOC_Os02g34940.2
Os02g0555000	LOC_Os02g34950.1
Os02g0555100	LOC_Os02g34960.1
Os02g0555200	None
Os02g0555300	LOC_Os02g34970.1
Os02g0555600	LOC_Os02g34990.1,LOC_Os02g34990.2
Os02g0555650	None
Os02g0555700	LOC_Os02g35000.1
Os02g0555766	None
Os02g0555832	None
Os02g0555900	LOC_Os02g35010.1
Os02g0556000	LOC_Os02g35020.1
Os02g0556050	None
Os02g0556100	LOC_Os02g35039.1,LOC_Os02g35039.2
Os02g0556300	None
Os02g0556400	LOC_Os02g35060.1
Os02g0556600	LOC_Os02g35070.1
Os02g0556700	LOC_Os02g35080.1,LOC_Os02g35080.2,LOC_Os02g35080.3,LOC_Os02g35080.4,LOC_Os02g35080.5,LOC_Os02g35080.6
Os02g0556750	None
Os02g0556800	LOC_Os02g35090.1
Os02g0556900	LOC_Os02g35100.1,LOC_Os02g35100.2
Os02g0557000	LOC_Os02g35110.1
Os02g0557100	LOC_Os02g35130.1,LOC_Os02g35130.2
Os02g0557150	None
Os02g0557200	LOC_Os02g35140.1
Os02g0557250	None
Os02g0557300	LOC_Os02g35144.1
Os02g0557500	LOC_Os02g35150.1
Os02g0557600	LOC_Os02g35160.1,LOC_Os02g35160.2
Os02g0557700	LOC_Os02g35170.1,LOC_Os02g35170.2
Os02g0557800	LOC_Os02g35180.1
Os02g0558100	LOC_Os02g35190.1,LOC_Os02g35190.2
Os02g0558200	None
Os02g0558300	LOC_Os02g35200.1
Os02g0558400	LOC_Os02g35210.1
Os02g0558500	LOC_Os02g35220.1
Os02g0558600	LOC_Os02g35230.1
Os02g0558700	LOC_Os02g35240.1
Os02g0559300	LOC_Os02g35300.1,LOC_Os02g35300.2,LOC_Os02g35300.3
Os02g0559400	LOC_Os02g35310.1
Os02g0559500	LOC_Os02g35320.1
Os02g0559600	None
Os02g0559701	None
Os02g0559800	LOC_Os02g35329.1
Os02g0559900	None
Os02g0559925	None
Os02g0560000	None
Os02g0560101	None
Os02g0560200	None
Os02g0560300	None
Os02g0560400	None
Os02g0560450	LOC_Os02g35315.1,LOC_Os02g35315.2
Os02g0560501	None
Os02g0560600	LOC_Os02g35365.1
Os02g0560700	None
Os02g0560800	None
Os02g0560901	None
Os02g0561000	None
Os02g0561100	None
Os02g0561200	None
Os02g0561301	None
Os02g0561400	None
Os02g0561500	None
Os02g0561600	None
Os02g0561666	None
Os02g0561732	None
Os02g0561800	LOC_Os02g35347.1
Os02g0561900	LOC_Os02g35440.1
Os02g0562000	None
Os02g0562100	LOC_Os02g35450.1
Os02g0562200	LOC_Os02g35460.1
Os02g0562300	LOC_Os02g35470.1,LOC_Os02g35470.2,LOC_Os02g35470.3,LOC_Os02g35470.4
Os02g0562350	None
Os02g0562400	LOC_Os02g35480.1
Os02g0562600	LOC_Os02g35490.1
Os02g0562700	LOC_Os02g35500.1
Os02g0563000	LOC_Os02g35530.1
Os02g0563300	None
Os02g0563400	None
Os02g0563800	LOC_Os02g35560.1
Os02g0564000	LOC_Os02g35590.1,LOC_Os02g35590.2,LOC_Os02g35590.3
Os02g0564100	LOC_Os02g35600.1
Os02g0564150	None
Os02g0564200	LOC_Os02g35610.1
Os02g0564300	LOC_Os02g35620.1
Os02g0564400	LOC_Os02g35630.1
Os02g0564500	LOC_Os02g35640.1
Os02g0564600	LOC_Os02g35650.1
Os02g0564700	LOC_Os02g35660.1
Os02g0565000	LOC_Os02g35690.1,LOC_Os02g35690.2
Os02g0565100	LOC_Os02g35700.1,LOC_Os02g35700.2,LOC_Os02g35700.3
Os02g0565150	LOC_Os02g35710.1
Os02g0565200	LOC_Os02g35720.1
Os02g0565300	LOC_Os02g35730.1
Os02g0565400	LOC_Os02g35750.1,LOC_Os02g35750.2,LOC_Os02g35750.3
Os02g0565500	LOC_Os02g35760.1,LOC_Os02g35760.2
Os02g0565600	LOC_Os02g35770.1,LOC_Os02g35770.2
Os02g0565700	None
Os02g0565800	LOC_Os02g35780.1
Os02g0565900	LOC_Os02g35810.1
Os02g0566000	None
Os02g0566300	LOC_Os02g35820.1,LOC_Os02g35820.2
Os02g0566400	LOC_Os02g35830.1
Os02g0566450	None
Os02g0566500	LOC_Os02g35840.1
Os02g0566700	LOC_Os02g35860.1
Os02g0566750	None
Os02g0566800	LOC_Os02g35870.1,LOC_Os02g35870.2
Os02g0566900	LOC_Os02g35880.1
Os02g0567000	LOC_Os02g35890.1
Os02g0567100	LOC_Os02g35900.1,LOC_Os02g35900.2
Os02g0567200	LOC_Os02g35910.1
Os02g0567450	None
Os02g0567575	None
Os02g0567700	None
Os02g0567800	LOC_Os02g35940.1
Os02g0567850	None
Os02g0567900	LOC_Os02g35950.1
Os02g0568100	None
Os02g0568200	LOC_Os02g35970.1
Os02g0568350	None
Os02g0568600	LOC_Os02g36000.1
Os02g0568700	LOC_Os02g36020.1
Os02g0569000	LOC_Os02g36030.1
Os02g0569100	LOC_Os02g36040.1
Os02g0569400	LOC_Os02g36070.1
Os02g0569601	None
Os02g0569800	None
Os02g0569900	LOC_Os02g36110.1
Os02g0570300	None
Os02g0570400	LOC_Os02g36140.2,LOC_Os02g36140.3,LOC_Os02g36140.4,LOC_Os02g36140.5
Os02g0570500	LOC_Os02g36150.1
Os02g0570600	None
Os02g0570700	LOC_Os02g36190.1
Os02g0570800	None
Os02g0570900	LOC_Os02g36210.1
Os02g0571000	None
Os02g0571100	LOC_Os02g36210.1
Os02g0571300	LOC_Os02g36220.1,LOC_Os02g36220.2
Os02g0571700	LOC_Os02g36250.1
Os02g0571800	LOC_Os02g36264.1
Os02g0571900	LOC_Os02g36280.1
Os02g0572000	None
Os02g0572050	LOC_Os02g36285.1
Os02g0572200	LOC_Os02g36300.1
Os02g0572300	LOC_Os02g36320.1
Os02g0572351	None
Os02g0572400	LOC_Os02g36340.1,LOC_Os02g36340.2
Os02g0572500	None
Os02g0572600	LOC_Os02g36350.1,LOC_Os02g36350.2
Os02g0572900	LOC_Os02g36360.1,LOC_Os02g36360.2,LOC_Os02g36360.3
Os02g0573200	LOC_Os02g36380.1,LOC_Os02g36380.2
Os02g0573300	LOC_Os02g36390.1,LOC_Os02g36390.2,LOC_Os02g36390.3,LOC_Os02g36390.4
Os02g0573400	LOC_Os02g36400.1
Os02g0573500	LOC_Os02g36414.1
Os02g0573601	None
Os02g0574000	LOC_Os02g36440.1
Os02g0574100	LOC_Os02g36450.1,LOC_Os02g36450.2
Os02g0574300	None
Os02g0574500	LOC_Os02g36490.1,LOC_Os02g36490.2,LOC_Os02g36490.3
Os02g0574600	LOC_Os02g36500.1
Os02g0574701	None
Os02g0574800	LOC_Os02g36510.1
Os02g0574900	LOC_Os02g36520.1
Os02g0575000	LOC_Os02g36530.1
Os02g0575200	LOC_Os02g36550.1
Os02g0575350	None
Os02g0575425	None
Os02g0575500	LOC_Os02g36570.1
Os02g0575700	LOC_Os02g36590.1,LOC_Os02g36590.2,LOC_Os02g36590.3,LOC_Os02g36595.1
Os02g0575800	LOC_Os02g36600.1
Os02g0575900	LOC_Os02g36619.1
Os02g0575950	None
Os02g0576100	None
Os02g0576250	LOC_Os02g36670.1
Os02g0576400	LOC_Os02g36680.1
Os02g0576600	LOC_Os02g36700.1
Os02g0576700	LOC_Os02g36710.1
Os02g0576900	LOC_Os02g36730.1
Os02g0577100	LOC_Os02g36740.1,LOC_Os02g36740.2,LOC_Os02g36740.3,LOC_Os02g36740.4,LOC_Os02g36740.5,LOC_Os02g36740.7,LOC_Os02g36740.8
Os02g0577250	LOC_Os02g36749.1
Os02g0577300	LOC_Os02g36770.1
Os02g0577400	None
Os02g0577501	LOC_Os02g36780.1
Os02g0577600	None
Os02g0577700	LOC_Os02g36810.1
Os02g0577900	LOC_Os02g36820.1
Os02g0578000	None
Os02g0578201	None
Os02g0578300	LOC_Os02g36840.1
Os02g0578333	None
Os02g0578366	LOC_Os02g36845.1
Os02g0578400	LOC_Os02g36850.1
Os02g0578500	None
Os02g0578601	LOC_Os02g36860.1
Os02g0578800	LOC_Os02g36870.1
Os02g0579000	LOC_Os02g36880.1,LOC_Os02g36880.2,LOC_Os02g36880.3,LOC_Os02g36880.4
Os02g0579150	None
Os02g0579300	LOC_Os02g36890.1
Os02g0579600	LOC_Os02g36924.1
Os02g0579800	LOC_Os02g36940.1
Os02g0579900	None
Os02g0580000	LOC_Os02g36950.1,LOC_Os02g36950.2
Os02g0580100	LOC_Os02g36960.1,LOC_Os02g36960.2
Os02g0580200	None
Os02g0580300	LOC_Os02g36974.1,LOC_Os02g36974.2,LOC_Os02g36974.3,LOC_Os02g36974.4,LOC_Os02g36974.5,LOC_Os02g36974.6
Os02g0580366	None
Os02g0580400	LOC_Os02g36990.1
Os02g0580500	LOC_Os02g37000.1
Os02g0580600	LOC_Os02g37010.1
Os02g0580700	LOC_Os02g37020.1
Os02g0580800	LOC_Os02g37030.1
Os02g0580900	None
Os02g0580966	None
Os02g0580983	None
Os02g0581000	LOC_Os02g37050.1
Os02g0581100	LOC_Os02g37060.1
Os02g0581200	LOC_Os02g37070.1
Os02g0581300	LOC_Os02g37080.1,LOC_Os02g37080.2
Os02g0581400	None
Os02g0581500	LOC_Os02g37090.1
Os02g0581600	LOC_Os02g37094.1
Os02g0581700	None
Os02g0581800	LOC_Os02g37100.1
Os02g0581900	LOC_Os02g37109.1,LOC_Os02g37109.2
Os02g0582100	LOC_Os02g37120.1,LOC_Os02g37120.2
Os02g0582200	LOC_Os02g37130.1,LOC_Os02g37130.2,LOC_Os02g37130.3
Os02g0582300	LOC_Os02g37140.1,LOC_Os02g37140.2
Os02g0582400	LOC_Os02g37150.1,LOC_Os02g37150.2
Os02g0582600	LOC_Os02g37160.1
Os02g0582800	LOC_Os02g37180.1
Os02g0582900	LOC_Os02g37190.1
Os02g0583000	LOC_Os02g37200.1
Os02g0583200	LOC_Os02g37210.1
Os02g0583250	None
Os02g0583300	LOC_Os02g37220.1
Os02g0583500	LOC_Os02g37230.1
Os02g0583700	LOC_Os02g37250.1
Os02g0583900	LOC_Os02g37254.1
Os02g0584050	None
Os02g0584200	LOC_Os02g37260.1
Os02g0584300	None
Os02g0584600	LOC_Os02g37280.1
Os02g0584700	LOC_Os02g37290.1
Os02g0584800	LOC_Os02g37300.1
Os02g0584900	LOC_Os02g37309.1
Os02g0585000	None
Os02g0585100	LOC_Os02g37320.1
Os02g0585200	LOC_Os02g37330.1
Os02g0585566	None
Os02g0585608	None
Os02g0585650	None
Os02g0585700	LOC_Os02g37360.1
Os02g0585800	None
Os02g0586000	LOC_Os02g37380.1
Os02g0586100	LOC_Os02g37390.1
Os02g0586200	LOC_Os02g37400.1
Os02g0586400	LOC_Os02g37420.1
Os02g0586500	LOC_Os02g37430.1
Os02g0586600	LOC_Os02g37440.1
Os02g0586700	LOC_Os02g37450.1
Os02g0586800	LOC_Os02g37470.1
Os02g0586900	LOC_Os02g37480.1
Os02g0587000	LOC_Os02g37490.1
Os02g0587300	LOC_Os02g37500.1
Os02g0587600	LOC_Os02g37520.1
Os02g0587700	LOC_Os02g37530.1
