NIP.MSU	NIP.RAPdb	MH63	ZS97
LOC_Os02g40010	Os02g0613900	MH02g0483100	ZS02g0491800
LOC_Os02g40020	Os02g0614000	None	None
LOC_Os02g40030	Os02g0614100	MH02g0483300	ZS02g0492000
LOC_Os02g40040	Os02g0614200	None	None
LOC_Os02g40050	None	None	None
LOC_Os02g40060	None	None	None
LOC_Os02g40070	Os02g0614300	MH02g0483500	ZS02g0492200
LOC_Os02g40080	Os02g0614400	MH02g0483600	ZS02g0492300
LOC_Os02g40090	Os02g0614500	None	None
LOC_Os02g40100	Os02g0614600	MH02g0483800	ZS02g0492700
LOC_Os02g40110	Os02g0614700	None	None
LOC_Os02g40110	Os02g0614800	None	None
LOC_Os02g40120	Os02g0614800	None	None
LOC_Os02g40130	Os02g0614966	None	None
LOC_Os02g40140	None	None	None
LOC_Os02g40150	None	None	None
LOC_Os02g40160	None	None	None
LOC_Os02g40170	None	None	None
LOC_Os02g40180	None	None	None
LOC_Os02g40190	Os02g0615400	None	None
LOC_Os02g40200	Os02g0615500	None	None
LOC_Os02g40210	None	None	None
LOC_Os02g40220	None	None	None
LOC_Os02g40230	None	None	None
LOC_Os02g40240	Os02g0615800	None	None
LOC_Os02g40250	None	None	None
LOC_Os02g40260	Os02g0616100	None	None
LOC_Os02g40270	Os02g0616199	MH02g0485400	ZS02g0494500
LOC_Os02g40280	Os02g0616300	None	None
LOC_Os02g40300	None	None	None
LOC_Os02g40310	None	None	None
LOC_Os02g40320	Os02g0616300	None	None
LOC_Os02g40330	Os02g0616600	None	None
LOC_Os02g40340	Os02g0616800	None	None
LOC_Os02g40350	None	None	None
LOC_Os02g40360	None	None	None
LOC_Os02g40370	None	None	None
LOC_Os02g40380	None	None	None
LOC_Os02g40390	None	MH11g0428300	None
LOC_Os02g40400	Os02g0617000	None	None
LOC_Os02g40400	Os02g0617075	None	None
LOC_Os02g40410	Os02g0617100	MH02g0486100	ZS02g0495200
LOC_Os02g40420	Os02g0617200	MH02g0486200	ZS02g0495400
LOC_Os02g40430	Os02g0617300	MH02g0486300	ZS02g0495500
LOC_Os02g40440	Os02g0617400	MH02g0486400	ZS02g0495600
LOC_Os02g40450	Os02g0617500	MH02g0486500	ZS02g0495700
LOC_Os02g40454	Os02g0617600	MH02g0486600	ZS02g0495800
LOC_Os02g40460	Os02g0617700	None	None
LOC_Os02g40470	None	None	None
LOC_Os02g40480	None	None	None
LOC_Os02g40490	Os02g0617900	None	None
LOC_Os02g40500	Os02g0618100	MH02g0487100	ZS02g0496500
LOC_Os02g40510	Os02g0618200	MH02g0487200	ZS02g0496600
LOC_Os02g40514	Os02g0618250	None	None
LOC_Os02g40520	None	None	ZS02g0496800
LOC_Os02g40530	Os02g0618400	MH02g0487500	ZS02g0496900
LOC_Os02g40540	Os02g0618650	MH02g0487600	ZS02g0497000
LOC_Os02g40550	Os02g0618700	MH02g0488000	ZS02g0497400
LOC_Os02g40560	Os02g0618801	None	None
LOC_Os02g40570	None	None	None
LOC_Os02g40580	None	None	None
LOC_Os02g40590	Os02g0618900	None	None
LOC_Os02g40600	Os02g0619000	None	None
LOC_Os02g40610	Os02g0619100	None	None
LOC_Os02g40610	Os02g0619166	None	None
LOC_Os02g40620	Os02g0619200	MH02g0488200	ZS02g0497600
LOC_Os02g40630	Os02g0619300	None	None
LOC_Os02g40640	None	None	ZS02g0497700
LOC_Os02g40650	Os02g0619500	MH02g0488500	ZS02g0497800
LOC_Os02g40664	Os02g0619600	MH02g0488600	ZS02g0497900
LOC_Os02g40680	Os02g0620100	MH02g0489400	ZS02g0498000
LOC_Os02g40690	Os02g0620200	None	None
LOC_Os02g40700	Os02g0620400	MH02g0489600	ZS02g0498200
LOC_Os02g40710	Os02g0620500	None	None
LOC_Os02g40720	None	None	None
LOC_Os02g40730	Os02g0620600	MH02g0489800	ZS02g0498400
LOC_Os02g40750	Os02g0620800	None	None
LOC_Os02g40760	Os02g0620900	MH02g0490000	ZS02g0498600
LOC_Os02g40770	Os02g0621100	MH02g0490100	ZS02g0498700
LOC_Os02g40784	Os02g0621300	MH02g0490200	ZS02g0498800
LOC_Os02g40800	Os02g0621400	MH02g0490300	None
LOC_Os02g40810	Os02g0621500	MH02g0490400	ZS02g0499000
LOC_Os02g40820	Os02g0621600	None	None
LOC_Os02g40830	Os02g0621700	MH02g0490800	ZS02g0499300
LOC_Os02g40840	Os02g0621800	MH02g0490900	ZS02g0499400
LOC_Os02g40850	None	None	ZS02g0499600
LOC_Os02g40860	Os02g0622100	MH02g0491000	ZS02g0499700
LOC_Os02g40870	Os02g0622200	MH02g0491100	ZS02g0499800
LOC_Os02g40880	Os02g0622300	None	ZS02g0499900
LOC_Os02g40890	Os02g0622400	None	None
LOC_Os02g40900	Os02g0622500	MH02g0491400	ZS02g0500100
LOC_Os02g40910	None	None	None
LOC_Os02g40920	None	None	None
LOC_Os02g40930	None	None	None
LOC_Os02g40940	Os02g0622900	MH10g0352900	ZS10g0375200
LOC_Os02g40950	Os02g0623000	None	None
LOC_Os02g41450	Os02g0623300	None	None
LOC_Os02g41460	Os02g0623400	None	None
LOC_Os02g41470	Os02g0623500	None	None
LOC_Os02g41480	Os02g0623600	None	None
LOC_Os02g41490	None	None	None
LOC_Os02g41500	Os02g0623932	None	None
LOC_Os02g41500	Os02g0624100	None	None
LOC_Os02g41510	Os02g0624300	MH02g0492200	ZS02g0501000
LOC_Os02g41520	Os02g0624400	MH02g0492400	ZS02g0501300
LOC_Os02g41530	None	None	None
LOC_Os02g41540	None	None	None
LOC_Os02g41550	Os02g0625000	None	None
LOC_Os02g41560	Os02g0625100	None	None
LOC_Os02g41570	None	None	None
LOC_Os02g41580	Os02g0625300	MH02g0492900	ZS02g0501800
LOC_Os02g41590	Os02g0625500	MH02g0493000	ZS02g0501900
LOC_Os02g41610	Os02g0625900	MH02g0493100	ZS02g0502000
LOC_Os02g41620	None	None	None
LOC_Os02g41630	Os02g0626100	None	ZS02g0502200
LOC_Os02g41640	None	None	None
LOC_Os02g41650	Os02g0626400	None	None
LOC_Os02g41670	Os02g0626600	MH02g0493300	ZS02g0502300
LOC_Os02g41680	Os02g0627100	MH02g0493600	ZS02g0502500
LOC_Os02g41690	None	None	None
LOC_Os02g41696	None	None	None
LOC_Os02g41702	None	None	None
LOC_Os02g41710	Os02g0627700	MH02g0494200	ZS02g0502900
LOC_Os02g41720	Os02g0627800	None	None
LOC_Os02g41730	None	None	None
LOC_Os02g41740	None	None	None
LOC_Os02g41750	None	None	None
LOC_Os02g41760	Os02g0627900	MH02g0494800	ZS02g0503500
LOC_Os02g41770	Os02g0628000	MH02g0494900	ZS02g0503600
LOC_Os02g41780	Os02g0628200	None	None
LOC_Os02g41790	None	None	None
LOC_Os02g41800	Os02g0628600	MH02g0495300	ZS02g0504000
LOC_Os02g41810	Os02g0628700	None	None
LOC_Os02g41820	Os02g0628800	MH02g0495400	None
LOC_Os02g41830	Os02g0628900	None	None
LOC_Os02g41840	Os02g0629000	MH02g0495600	ZS02g0504300
LOC_Os02g41850	None	MH02g0495700	ZS02g0504400
LOC_Os02g41860	Os02g0629200	MH02g0495800	ZS02g0504500
LOC_Os02g41870	None	None	ZS02g0504600
LOC_Os02g41880	Os02g0629332	MH02g0496000	ZS02g0504700
LOC_Os02g41890	Os02g0629400	MH02g0496100	ZS02g0504800
LOC_Os02g41900	Os02g0629332	None	None
LOC_Os02g41904	Os02g0629800	None	None
LOC_Os02g41910	Os02g0630000	None	None
LOC_Os02g41920	Os02g0630100	None	ZS02g0505000
LOC_Os02g41930	Os02g0630200	None	None
LOC_Os02g41940	Os02g0630250	None	None
LOC_Os02g41954	Os02g0630300	MH02g0496600	ZS02g0505300
LOC_Os02g41961	None	None	None
LOC_Os02g41970	None	None	None
LOC_Os02g41980	None	None	None
LOC_Os02g41990	Os02g0631000	None	None
LOC_Os02g42000	Os02g0631100	None	None
LOC_Os02g42020	Os02g0631200	None	None
LOC_Os02g42030	None	None	None
LOC_Os02g42040	Os02g0631500	MH02g0497200	ZS02g0506200
LOC_Os02g42040	Os02g0631601	MH02g0497200	ZS02g0506200
LOC_Os02g42050	None	None	None
LOC_Os02g42060	Os02g0631700	None	None
LOC_Os02g42070	None	None	None
LOC_Os02g42080	None	None	None
LOC_Os02g42090	None	None	None
LOC_Os02g42100	Os02g0631801	None	None
LOC_Os02g42110	Os02g0632100	MH02g0497900	ZS02g0506700
LOC_Os02g42120	Os02g0632200	None	None
LOC_Os02g42134	Os02g0632500	MH02g0498500	None
LOC_Os02g42150	Os02g0632800	None	None
LOC_Os02g42160	Os02g0632900	None	None
LOC_Os02g42170	Os02g0633000	MH02g0499400	ZS02g0508100
LOC_Os02g42180	None	MH02g0499500	ZS02g0508200
LOC_Os02g42190	Os02g0633066	None	None
LOC_Os02g42200	Os02g0633100	MH02g0499700	ZS02g0508400
LOC_Os02g42210	Os02g0633200	None	None
LOC_Os02g42220	Os02g0633300	MH02g0499800	ZS02g0508500
LOC_Os02g42230	Os02g0633400	MH02g0499900	ZS02g0508600
LOC_Os02g42250	Os02g0633700	None	None
LOC_Os02g42270	Os02g0633900	None	ZS02g0509000
LOC_Os02g42280	Os02g0634100	MH02g0500400	ZS02g0509100
LOC_Os02g42290	Os02g0634500	MH02g0500500	ZS02g0509200
LOC_Os02g42300	Os02g0634600	MH02g0500600	None
LOC_Os02g42310	Os02g0634700	MH02g0500700	None
LOC_Os02g42314	Os02g0634800	MH02g0500800	None
LOC_Os02g42320	Os02g0634900	MH02g0500900	None
LOC_Os02g42330	Os02g0635000	MH02g0501100	None
LOC_Os02g42340	None	None	None
LOC_Os02g42350	Os02g0635200	MH02g0501200	None
LOC_Os02g42360	Os02g0635400	None	None
LOC_Os02g42370	Os02g0635600	MH02g0501400	None
LOC_Os02g42374	Os02g0635700	MH02g0501500	None
LOC_Os02g42380	Os02g0635800	MH02g0501600	None
LOC_Os02g42390	Os02g0635950	None	None
LOC_Os02g42400	None	None	None
LOC_Os02g42406	Os02g0636300	MH02g0501900	None
LOC_Os02g42412	Os02g0636400	None	None
LOC_Os02g42420	None	MH02g0502100	None
LOC_Os02g42430	Os02g0636600	None	None
LOC_Os02g42440	Os02g0636700	None	None
LOC_Os02g42450	Os02g0637000	None	None
LOC_Os02g42460	None	None	None
LOC_Os02g42470	Os02g0637200	None	None
LOC_Os02g42497	None	MH02g0503200	None
LOC_Os02g42506	None	None	None
LOC_Os02g42520	Os02g0637700	MH02g0503300	None
LOC_Os02g42530	Os02g0637800	MH02g0503400	None
LOC_Os02g42540	Os02g0637900	MH02g0503500	ZS02g0519700
LOC_Os02g42550	Os02g0638000	MH02g0503600	ZS02g0519800
LOC_Os02g42560	Os02g0638200	MH02g0503700	ZS02g0519900
LOC_Os02g42570	Os02g0638300	None	None
LOC_Os02g42580	Os02g0638400	MH02g0503900	ZS02g0520100
LOC_Os02g42585	Os02g0638650	None	None
LOC_Os02g42590	Os02g0638900	MH02g0504200	ZS02g0520400
LOC_Os02g42600	Os02g0639000	MH02g0504300	ZS02g0520500
LOC_Os02g42610	None	None	None
LOC_Os02g42620	Os02g0639100	MH02g0504500	ZS02g0520700
LOC_Os02g42630	Os02g0639200	None	None
LOC_Os02g42640	Os02g0639300	MH02g0504700	ZS02g0520900
LOC_Os02g42650	Os02g0639500	MH02g0504800	ZS02g0521000
LOC_Os02g42660	Os02g0639600	MH02g0504900	ZS02g0521100
LOC_Os02g42670	Os02g0639700	None	None
LOC_Os02g42690	Os02g0639800	MH02g0505100	ZS02g0521400
LOC_Os02g42700	Os02g0639900	MH02g0505300	ZS02g0521600
LOC_Os02g42710	Os02g0640000	None	None
LOC_Os02g42720	Os02g0640100	None	None
LOC_Os02g42730	Os02g0640200	None	None
LOC_Os02g42740	Os02g0640300	None	None
LOC_Os02g42750	None	None	None
LOC_Os02g42760	None	None	None
LOC_Os02g42780	Os02g0640500	MH02g0505900	ZS02g0522200
LOC_Os02g42790	Os02g0640600	MH02g0506000	None
LOC_Os02g42800	Os02g0640700	None	ZS02g0522400
LOC_Os02g42810	Os02g0640800	None	None
LOC_Os02g42820	Os02g0641000	MH02g0506200	ZS02g0522600
LOC_Os02g42830	None	None	None
LOC_Os02g42840	None	None	None
LOC_Os02g42850	Os02g0641300	MH02g0506600	ZS02g0523100
LOC_Os02g42860	Os02g0641800	MH02g0506700	ZS02g0523200
LOC_Os02g42870	Os02g0641900	MH02g0507000	ZS02g0523400
LOC_Os02g42880	Os02g0642200	MH02g0507100	ZS02g0523500
LOC_Os02g42890	Os02g0642300	MH02g0507200	ZS02g0523600
LOC_Os02g42900	None	None	None
LOC_Os02g42910	Os02g0642600	MH02g0507300	ZS02g0523700
LOC_Os02g42920	Os02g0642700	None	None
LOC_Os02g42930	None	None	None
LOC_Os02g42940	Os02g0643000	MH02g0507500	ZS02g0523900
LOC_Os02g42950	Os02g0643200	MH02g0507600	ZS02g0524000
LOC_Os02g42960	Os02g0643500	MH02g0507700	ZS02g0524100
LOC_Os02g42970	Os02g0643600	None	None
LOC_Os02g42980	None	None	None
LOC_Os02g42990	Os02g0643800	None	None
LOC_Os02g43000	Os02g0643900	None	None
LOC_Os02g43010	Os02g0644000	None	None
LOC_Os02g43020	Os02g0644100	None	None
LOC_Os02g43030	Os02g0644200	None	None
LOC_Os02g43040	Os02g0644500	MH02g0508600	ZS02g0525000
LOC_Os02g43050	Os02g0644400	None	None
LOC_Os02g43060	None	None	None
LOC_Os02g43070	None	None	None
LOC_Os02g43080	Os02g0644600	None	None
LOC_Os02g43090	Os02g0644700	MH02g0509200	ZS02g0525500
LOC_Os02g43100	None	None	None
LOC_Os02g43110	Os02g0644900	None	None
LOC_Os02g43120	Os02g0645000	MH02g0509400	ZS02g0525700
LOC_Os02g43130	Os02g0645100	MH02g0509600	ZS02g0525900
LOC_Os02g43140	None	None	None
LOC_Os02g43150	Os02g0645600	MH02g0509800	ZS02g0526100
LOC_Os02g43160	None	None	None
LOC_Os02g43170	Os02g0646200	None	ZS02g0526300
LOC_Os02g43180	Os02g0646400	None	ZS02g0526400
LOC_Os02g43194	Os02g0646500	None	ZS02g0526500
LOC_Os02g43210	None	None	None
LOC_Os02g43220	None	None	None
LOC_Os02g43230	None	None	None
LOC_Os02g43250	Os02g0647300	None	ZS02g0526900
LOC_Os02g43260	None	None	None
LOC_Os02g43270	None	None	None
LOC_Os02g43280	Os02g0647900	MH02g0510000	ZS02g0528000
LOC_Os02g43290	Os02g0648100	None	None
LOC_Os02g43300	Os02g0648300	MH02g0510200	ZS02g0528200
LOC_Os02g43310	None	MH09g0273600	ZS09g0215400
LOC_Os02g43314	Os02g0648900	None	None
LOC_Os02g43320	None	MH02g0510400	ZS02g0528400
LOC_Os02g43330	Os02g0649300	MH02g0510500	ZS02g0528500
LOC_Os02g43340	Os02g0649400	MH02g0510600	ZS02g0528600
LOC_Os02g43350	Os02g0649700	MH02g0510700	ZS02g0528700
LOC_Os02g43360	Os02g0649800	MH02g0510800	ZS02g0528800
LOC_Os02g43370	Os02g0649900	None	None
LOC_Os02g43380	None	None	None
LOC_Os02g43390	None	None	None
LOC_Os02g43400	None	MH02g0511100	None
LOC_Os02g43410	Os02g0650300	MH02g0511200	None
LOC_Os02g43420	None	None	None
LOC_Os02g43430	Os02g0650500	MH02g0511400	None
LOC_Os02g43440	None	MH02g0511500	None
LOC_Os02g43450	None	None	None
LOC_Os02g43460	Os02g0650800	MH02g0511600	None
LOC_Os02g43470	Os02g0650900	MH02g0511800	None
LOC_Os02g43480	Os02g0651000	None	None
LOC_Os02g43490	Os02g0651200	None	None
LOC_Os02g43500	Os02g0651300	MH02g0512100	None
LOC_Os02g43510	Os02g0651400	None	None
LOC_Os02g43519	Os02g0651500	MH02g0512300	None
LOC_Os02g43530	None	None	None
LOC_Os02g43540	Os02g0651900	None	None
LOC_Os02g43550	Os02g0652000	MH02g0512500	None
LOC_Os02g43560	Os02g0652100	MH02g0512600	None
LOC_Os02g43570	None	MH02g0512700	None
LOC_Os02g43580	None	None	None
LOC_Os02g43590	Os02g0652300	MH02g0512800	None
LOC_Os02g43594	Os02g0652550	None	None
LOC_Os02g43600	Os02g0652600	None	None
LOC_Os02g43610	None	None	None
LOC_Os02g43620	Os02g0652800	MH02g0513600	None
LOC_Os02g43630	Os02g0652850	None	None
LOC_Os02g43640	None	None	None
LOC_Os02g43660	Os02g0653200	MH02g0513900	None
LOC_Os02g43670	Os02g0653400	None	None
LOC_Os02g43680	Os02g0653700	None	None
LOC_Os02g43690	Os02g0653800	None	None
LOC_Os02g43700	Os02g0653900	MH02g0514500	None
LOC_Os02g43710	Os02g0654000	MH02g0514600	ZS02g0538900
LOC_Os02g43720	Os02g0654100	MH02g0514700	ZS02g0539000
LOC_Os02g43730	None	None	None
LOC_Os02g43740	Os02g0654300	MH02g0514800	ZS02g0539200
LOC_Os02g43750	Os02g0654400	MH02g0514900	ZS02g0539300
LOC_Os02g43760	Os02g0654500	MH02g0515000	ZS02g0539400
LOC_Os02g43770	Os02g0654600	MH02g0515100	ZS02g0539500
LOC_Os02g43780	None	MH10g0382500	ZS10g0088500
LOC_Os02g43790	Os02g0654700	None	None
LOC_Os02g43800	None	None	None
LOC_Os02g43810	Os02g0655100	MH02g0515400	ZS02g0539800
LOC_Os02g43820	Os02g0655200	MH02g0515500	ZS02g0539900
LOC_Os02g43830	Os02g0655300	MH02g0515700	ZS02g0540000
LOC_Os02g43840	Os02g0655500	MH02g0516000	ZS02g0540300
LOC_Os02g43850	Os02g0655600	MH02g0516100	ZS02g0540400
LOC_Os02g43860	Os02g0655700	MH02g0516200	ZS02g0540500
LOC_Os02g43865	Os02g0655750	None	None
LOC_Os02g43870	Os02g0655800	MH02g0516300	ZS02g0540600
LOC_Os02g43880	None	None	None
LOC_Os02g43890	Os02g0656000	None	None
LOC_Os02g43900	Os02g0656100	MH02g0516500	None
LOC_Os02g43906	Os02g0656200	None	None
LOC_Os02g43912	Os02g0656200	None	None
LOC_Os02g43920	Os02g0656300	MH02g0516800	ZS02g0541000
LOC_Os02g43930	Os02g0656500	MH02g0516900	ZS02g0541100
LOC_Os02g43940	Os02g0656600	MH02g0517000	ZS02g0541200
LOC_Os02g43950	None	None	None
LOC_Os02g43960	Os02g0656900	None	None
LOC_Os02g43970	Os02g0657000	MH02g0517300	ZS02g0541300
LOC_Os02g43980	None	None	None
LOC_Os02g43990	None	None	None
LOC_Os02g44000	Os02g0657600	MH02g0517600	ZS02g0541600
LOC_Os02g44010	Os02g0657700	None	ZS02g0541700
LOC_Os02g44020	None	None	None
LOC_Os02g44030	None	None	None
LOC_Os02g44040	Os02g0658000	MH02g0517800	ZS02g0541900
LOC_Os02g44050	None	None	None
LOC_Os02g44060	None	None	None
LOC_Os02g44070	None	None	None
LOC_Os02g44080	Os02g0658100	MH02g0517900	ZS02g0542000
LOC_Os02g44090	Os02g0658200	MH02g0518000	ZS02g0542100
LOC_Os02g44100	Os02g0658300	MH02g0518100	ZS02g0542200
LOC_Os02g44102	Os02g0658400	None	None
LOC_Os02g44104	Os02g0658500	None	None
LOC_Os02g44106	Os02g0658600	None	None
LOC_Os02g44108	Os02g0658800	None	None
LOC_Os02g44111	Os02g0658900	MH02g0518500	ZS02g0542600
LOC_Os02g44120	Os02g0659100	MH02g0518600	ZS02g0542700
LOC_Os02g44124	None	MH02g0518800	ZS02g0542900
LOC_Os02g44130	Os02g0659500	MH02g0518900	ZS02g0543000
LOC_Os02g44132	Os02g0659600	MH02g0519000	ZS02g0543200
LOC_Os02g44134	Os02g0659700	MH02g0519100	ZS02g0543300
LOC_Os02g44136	Os02g0659800	None	None
LOC_Os02g44140	None	None	None
LOC_Os02g44150	None	None	None
LOC_Os02g44155	Os02g0660100	None	None
LOC_Os02g44160	None	MH06g0488300	None
LOC_Os02g44170	None	None	None
LOC_Os02g44180	None	None	None
LOC_Os02g44190	None	MH02g0519800	ZS02g0543900
LOC_Os02g44200	Os02g0660800	MH02g0519900	ZS02g0544100
LOC_Os02g44210	None	None	None
LOC_Os02g44220	Os02g0661000	MH02g0520100	None
LOC_Os02g44230	Os02g0661100	MH02g0520200	ZS02g0544300
LOC_Os02g44235	Os02g0661100	None	None
LOC_Os02g44240	Os02g0661200	None	None
LOC_Os02g44250	Os02g0661300	None	None
LOC_Os02g44260	Os02g0661400	MH02g0520400	ZS02g0544500
LOC_Os02g44270	Os02g0661500	None	None
LOC_Os02g44280	Os02g0661600	MH02g0520800	ZS02g0544900
LOC_Os02g44290	Os02g0661800	MH02g0521000	ZS02g0545000
LOC_Os02g44300	Os02g0661900	None	None
LOC_Os02g44310	Os02g0662000	MH02g0521200	ZS02g0545200
LOC_Os02g44320	Os02g0662100	None	None
LOC_Os02g44330	Os02g0662200	None	None
LOC_Os02g44340	Os02g0662300	MH02g0521400	ZS02g0545400
LOC_Os02g44350	None	None	None
LOC_Os02g44360	Os02g0662700	MH02g0521600	ZS02g0545600
LOC_Os02g44370	Os02g0663100	MH02g0521700	ZS02g0545800
LOC_Os02g44380	Os02g0663300	None	None
LOC_Os02g44390	None	None	None
LOC_Os02g44400	None	None	None
LOC_Os02g44410	None	None	None
LOC_Os02g44420	None	None	None
LOC_Os02g44430	None	MH01g0447100	None
LOC_Os02g44440	None	None	None
LOC_Os02g44450	None	None	None
LOC_Os02g44460	None	None	None
LOC_Os02g44470	Os02g0663800	MH02g0522100	ZS02g0546100
LOC_Os02g44480	Os02g0663900	None	None
LOC_Os02g44490	Os02g0663900	None	None
LOC_Os02g44500	Os02g0664000	MH02g0522300	None
LOC_Os02g44510	Os02g0664200	None	None
LOC_Os02g44520	Os02g0664300	MH02g0522500	ZS02g0546500
LOC_Os02g44530	Os02g0664400	None	None
LOC_Os02g44540	Os02g0664700	MH02g0522800	None
LOC_Os02g44550	Os02g0665000	None	None
LOC_Os02g44560	Os02g0665100	MH02g0523200	ZS02g0547100
LOC_Os02g44570	Os02g0665200	MH02g0523300	ZS02g0547200
LOC_Os02g44590	Os02g0665300	MH02g0523500	ZS02g0547400
LOC_Os02g44599	Os02g0665400	MH02g0523600	ZS02g0547500
LOC_Os02g44610	Os02g0665800	MH02g0523700	ZS02g0547600
LOC_Os02g44620	None	None	None
LOC_Os02g44630	Os02g0666200	MH02g0524400	ZS02g0548300
LOC_Os02g44642	Os02g0666300	MH02g0524500	ZS02g0548400
LOC_Os02g44654	Os02g0666500	MH02g0524600	ZS02g0548500
LOC_Os02g44670	Os02g0666600	MH02g0524700	ZS02g0548600
LOC_Os02g44680	Os02g0666700	MH02g0524800	ZS02g0548700
LOC_Os02g44690	Os02g0666800	MH02g0524900	ZS02g0548800
LOC_Os02g44700	Os02g0666900	None	None
LOC_Os02g44704	Os02g0667050	MH02g0525100	None
LOC_Os02g44704	Os02g0667000	MH02g0525100	None
LOC_Os02g44710	Os02g0667100	None	None
LOC_Os02g44720	Os02g0667300	MH02g0525300	ZS02g0549100
LOC_Os02g44730	Os02g0667500	None	None
LOC_Os02g44740	Os02g0667600	MH02g0525500	None
LOC_Os02g44750	None	None	None
LOC_Os02g44760	None	MH02g0525800	None
LOC_Os02g44770	Os02g0668000	None	None
LOC_Os02g44780	Os02g0668100	None	None
LOC_Os02g44800	Os02g0668300	None	None
LOC_Os02g44810	Os02g0668400	MH02g0526200	None
LOC_Os02g44820	Os02g0668500	MH02g0526300	None
LOC_Os02g44830	None	None	None
LOC_Os02g44840	None	None	None
LOC_Os02g44850	Os02g0668900	MH02g0526600	None
LOC_Os02g44860	Os02g0669000	MH02g0526700	None
LOC_Os02g44870	Os02g0669100	MH02g0526800	None
LOC_Os02g44880	Os02g0669500	None	None
LOC_Os02g44880	Os02g0669600	None	None
LOC_Os02g44890	Os02g0669700	MH02g0527100	None
LOC_Os02g44900	Os02g0669900	None	None
LOC_Os02g44910	Os02g0670000	None	None
LOC_Os02g44920	Os02g0670100	None	None
LOC_Os02g44930	Os02g0670400	MH02g0527600	None
LOC_Os02g44940	Os02g0670500	None	None
LOC_Os02g44950	None	None	None
LOC_Os02g44970	Os02g0670700	None	None
LOC_Os02g44975	None	None	None
LOC_Os02g44980	Os02g0670900	None	None
LOC_Os02g44990	Os02g0671100	MH02g0528000	None
LOC_Os02g45000	Os02g0671200	None	None
LOC_Os02g45010	Os02g0671300	None	None
LOC_Os02g45020	None	None	None
LOC_Os02g45030	None	None	None
LOC_Os02g45040	Os02g0671800	None	None
LOC_Os02g45054	Os02g0672100	None	None
LOC_Os02g45070	Os02g0672200	None	None
LOC_Os02g45080	Os02g0672300	None	ZS02g0559100
LOC_Os02g45090	Os02g0672400	None	None
LOC_Os02g45100	Os02g0672500	None	ZS02g0559300
LOC_Os02g45110	Os02g0672600	None	ZS02g0559400
LOC_Os02g45120	Os02g0672700	None	ZS02g0559500
LOC_Os02g45130	Os02g0672800	None	ZS02g0559600
LOC_Os02g45140	None	None	None
LOC_Os02g45150	Os02g0673000	None	ZS02g0560000
LOC_Os02g45160	Os02g0673100	None	ZS02g0560100
LOC_Os02g45170	Os02g0673500	MH02g0538400	ZS02g0560800
LOC_Os02g45180	Os02g0673600	MH02g0538500	ZS02g0560900
LOC_Os02g45200	Os02g0673700	None	None
LOC_Os02g45210	None	MH02g0538800	None
LOC_Os02g45220	None	None	None
LOC_Os02g45225	Os02g0674233	MH02g0539000	ZS02g0561300
LOC_Os02g45230	None	None	None
LOC_Os02g45240	Os02g0674700	MH02g0539200	ZS02g0561400
LOC_Os02g45250	Os02g0674800	MH02g0539300	ZS02g0561500
LOC_Os02g45270	Os02g0675000	None	None
LOC_Os02g45280	Os02g0675400	MH02g0539600	ZS02g0561700
LOC_Os02g45290	None	None	None
LOC_Os02g45300	None	MH02g0539700	None
LOC_Os02g45310	Os02g0675700	MH02g0539800	ZS02g0561800
LOC_Os02g45320	Os02g0675800	MH02g0540100	ZS02g0562000
LOC_Os02g45330	None	None	ZS02g0562100
LOC_Os02g45344	Os02g0676000	MH02g0540400	ZS02g0562200
LOC_Os02g45360	None	MH02g0540500	None
LOC_Os02g45370	None	None	None
LOC_Os02g45380	Os02g0676400	None	None
LOC_Os02g45390	Os02g0676500	MH02g0540800	ZS02g0562400
LOC_Os02g45400	None	MH02g0540900	ZS02g0562600
LOC_Os02g45410	None	None	None
LOC_Os02g45420	Os02g0676800	None	None
LOC_Os02g45440	Os02g0677100	None	None
LOC_Os02g45450	Os02g0677300	MH02g0541700	ZS02g0563100
LOC_Os02g45460	Os02g0677600	MH02g0541900	ZS02g0563200
LOC_Os02g45470	None	None	None
LOC_Os02g45480	Os02g0677700	MH02g0542000	ZS02g0563300
LOC_Os02g45490	Os02g0677800	MH02g0542100	None
LOC_Os02g45500	None	None	None
LOC_Os02g45510	Os02g0678100	None	None
LOC_Os02g45520	Os02g0678200	MH02g0542700	ZS02g0563900
LOC_Os02g45530	Os02g0678300	MH02g0542800	ZS02g0564000
LOC_Os02g45540	Os02g0678400	MH02g0542900	ZS02g0564100
LOC_Os02g45550	None	None	None
LOC_Os02g45560	None	None	None
LOC_Os02g45570	Os02g0678800	None	None
LOC_Os02g45580	Os02g0679000	None	None
LOC_Os02g45590	Os02g0679200	None	None
LOC_Os02g45600	Os02g0679500	MH02g0543700	ZS02g0564600
LOC_Os02g45610	None	None	None
LOC_Os02g45620	Os02g0679700	None	None
LOC_Os02g45630	None	None	None
LOC_Os02g45640	Os02g0680167	None	None
LOC_Os02g45650	Os02g0680400	MH02g0544300	ZS02g0565300
LOC_Os02g45660	Os02g0680600	MH02g0544500	ZS02g0565500
LOC_Os02g45670	Os02g0680700	MH02g0544600	ZS02g0565600
LOC_Os02g45680	None	MH02g0544700	ZS02g0565700
LOC_Os02g45690	Os02g0681000	MH02g0545000	ZS02g0566100
